name,typ,node,maxcap,mincap,heat_rate,var_om,fix_om,st_cost,ramp,minup,mindn
BTSW_coal,coal_st,BTSW,746,186.5,10.05,9.4,3.65,90,111.9,8,8
NAM_oil,oil_ic,NAM,59.9,23.96,10.33,28.9,1.5,50,59.9,1,1
NAM_coal,coal_st,NAM,120,30,10.05,9.4,3.65,90,18,8,8
STAF_biomass,biomass_st,STAF,13.6,2.72,14.1,3.09,9.21,36,5.71,1,1
STAF_gas,gas_st,STAF,342,68.4,8,42.4,2.74,35,27.36,0.5,1
STAF_oil,oil_ic,STAF,2067,826.8,10.33,28.9,1.5,50,2067,1,1
STAF_coal,coal_st,STAF,39794,9948.5,10.05,9.4,3.65,90,5969.1,8,8
STAF_nuclear,nuclear,STAF,1800,900,10.46,4.1,12.79,50,540,10,10
ZAM_coal,coal_st,ZAM,300,75,10.05,9.4,3.65,90,45,8,8
ZAM_biomass,biomass_st,ZAM,12.24,2.4474,14.1,3.09,9.21,36,5.14,1,1
ZAM_oil,oil_ic,ZAM,169.6,67.84,10.33,28.9,1.5,50,169.6,1,1
ZIM_Coal,coal_st,ZIM,920,230,10.05,9.4,3.65,90,138,8,8
DRC_gas,gas_st,DRC,25,32.736,8,42.4,2.74,35,2,0.5,1
DRC_oil,oil_ic,DRC,13.24,54.76,10.33,28.9,1.5,50,13.24,1,1
SWA_biomass,biomass_st,SWA,44,5,14.1,3.09,9.21,36,10.5,1,1
ANG_gas,gas_st,ANG,163.68,5.296,8,42.4,2.74,35,13.09,0.5,1
ANG_oil,oil_ic,ANG,136.9,2,10.33,28.9,1.5,50,136.9,1,1
MAL_biomass,biomass_st,MAL,10,3.1,14.1,3.09,9.21,36,4.2,1,1
MAL_gas,gas_st,MAL,15.5,8.8,8,42.4,2.74,35,1.24,0.5,1
TAN_gas,gas_st,TAN,333.5,66.7,8,42.4,2.74,35,26.68,0.5,1
TAN_oil,oil_ic,TAN,100,40,10.33,28.9,1.5,50,100,1,1