name,typ,node,deratef
BTSW_coal,coal_st,BTSW,1
NAM_oil,oil_ic,NAM,1
NAM_coal,coal_st,NAM,1
STAF_biomass,biomass_st,STAF,1
STAF_gas,gas_st,STAF,1
STAF_oil,oil_ic,STAF,1
STAF_coal,coal_st,STAF,1
STAF_nuclear,nuclear,STAF,1
ZAM_coal,coal_st,ZAM,1
ZAM_biomass,biomass_st,ZAM,1
ZAM_oil,oil_ic,ZAM,1
ZIM_Coal,coal_st,ZIM,1
DRC_gas,gas_st,DRC,1
DRC_oil,oil_ic,DRC,1
SWA_biomass,biomass_st,SWA,1
ANG_gas,gas_st,ANG,1
ANG_oil,oil_ic,ANG,1
MAL_biomass,biomass_st,MAL,1
MAL_gas,gas_st,MAL,1
TAN_gas,gas_st,TAN,1
TAN_oil,oil_ic,TAN,1