Hour,ANG,BTSW,DRC,LES,MAL,MOZ,NAM,STAF,SWA,TAN,ZAM,ZIM
0,1056.634008,299.065203,973.8204912,47.73086784,189.8155982,1829.859695,119.6502993,23518.132,47.91551336,667.4935676,1728.991246,1012.54933
1,1012.703833,311.42327,933.3333364,45.74642917,181.923904,1796.852964,114.6757683,23065.395,45.92339795,639.7421333,1800.437168,1054.390214
2,999.2165278,299.065203,920.9030962,45.13717299,179.5010206,1780.29484,113.1485033,22761.809,45.31178488,631.2219743,1728.991246,1012.54933
3,993.6290004,306.4800558,915.7534903,44.88477005,178.4972674,1772.573972,112.5157872,22942.729,45.05840552,627.6922388,1771.858872,1037.653903
4,1012.703833,310.5994114,933.3333364,45.74642917,181.923904,1770.992587,114.6757683,24093.265,45.92339795,639.7421333,1795.67418,1051.600864
5,1060.487524,316.3665052,977.3719882,47.90494102,190.5078506,1761.613827,120.0866607,26317.28,48.09025994,669.9278987,1829.015586,1071.126596
6,1215.591479,343.5542566,1120.319696,54.91138441,218.3709987,1784.907854,137.6502015,27410.908,55.12380756,767.9096891,1986.196642,1163.176554
7,1406.918577,399.5774871,1296.651564,63.55412007,252.7413363,1885.766596,159.3155505,29254.794,63.79997741,888.7742517,2310.08479,1352.855206
8,1487.457035,389.6910378,1370.877833,67.19224876,267.2094071,1919.588659,168.4355017,30934.634,67.45218009,939.6517573,2252.928076,1319.382514
9,1533.31385,369.0942595,1413.140628,69.26371869,275.4472062,1921.224855,173.6282,31672.818,69.53166344,968.6202826,2133.851538,1249.647708
10,1523.680061,371.5658666,1404.261885,68.82853572,273.7165753,1944.316337,172.5372965,31518.204,69.09479698,962.534455,2148.140686,1258.015862
11,1508.458685,373.2136152,1390.233482,68.14094713,270.9821805,1927.161827,170.8136702,31217.632,68.40454847,952.9188544,2157.666846,1263.594669
12,1504.605168,373.2136152,1386.681985,67.96687392,270.289928,1911.402706,170.3773087,30754.257,68.22980187,950.4845231,2157.666846,1263.594669
13,1487.457035,342.7303771,1370.877833,67.19224876,267.2094071,1911.402706,168.4355017,30286.161,67.45218009,939.6517573,1981.433532,1160.387133
14,1443.33429,331.1961897,1330.213201,65.19911122,259.2831193,1925.821276,163.4391647,30246.901,65.45133215,911.7786733,1914.750718,1121.335671
15,1431.773742,320.4858608,1319.55871,64.67689163,257.2063621,1899.550475,162.1300804,30639.584,64.92709237,904.4756799,1852.830894,1085.073557
16,1426.186156,331.1961897,1314.40905,64.42448604,256.2025982,1879.550563,161.4973576,31455.462,64.67371035,900.9459072,1914.750718,1121.335671
17,1433.7005,359.2077997,1321.334458,64.76392823,257.5524883,1877.969178,162.3482611,33122.821,65.01446567,905.6928454,2076.694762,1216.174979
18,1525.606818,384.747813,1406.037634,68.91557231,274.0627015,1988.29957,172.7554772,34773.633,69.18217027,963.7516205,2224.34972,1302.646167
19,1701.712511,403.6968428,1568.341072,76.87071806,305.6986389,2085.623363,192.6971965,34092.261,77.16809027,1075.000564,2333.900098,1366.802168
20,1623.293469,389.6910378,1496.068109,73.32832883,291.6113038,2084.879243,183.8172421,32151.777,73.61199742,1025.461929,2252.928076,1319.382514
21,1489.191105,331.1961897,1372.475996,67.27058115,267.5209184,2049.787826,168.631863,29586.033,67.5308155,940.7471986,1914.750718,1121.335671
22,1311.158684,299.065203,1208.396837,59.22840015,235.5388602,1978.494014,148.4719663,26617.927,59.45752355,828.2811084,1728.991246,1012.54933
23,1158.174116,307.3039144,1067.40241,52.31769489,208.0564424,1877.64086,131.1484189,24706.592,52.52008443,731.6381703,1776.621861,1040.443253