Hour,DEVIL.GO_s,BATOKA.GO_s,KARIBA_s,MOZ_MPHANDA_s,CAHORA_s,INF_SOURCE_s
0,0,0,0,0,0,1.00E+06
1,0,0,0,0,0,1.00E+06
2,0,0,0,0,0,1.00E+06
3,0,0,0,0,0,1.00E+06
4,0,0,0,0,0,1.00E+06
5,0,0,0,0,0,1.00E+06
6,0,0,0,0,0,1.00E+06
7,426,426,586,431,474,1.00E+06
8,993,993,1365,1005,1105,1.00E+06
9,1401,1401,1926,1420,1562,1.00E+06
10,1670,1670,2297,1692,1861,1.00E+06
11,1812,1812,2491,1835,2019,1.00E+06
12,1839,1839,2529,1864,2050,1.00E+06
13,1753,1753,2410,1775,1952,1.00E+06
14,1555,1555,2138,1576,1734,1.00E+06
15,1228,1228,1689,1244,1368,1.00E+06
16,765,765,1052,775,853,1.00E+06
17,194,194,266,196,216,1.00E+06
18,0,0,0,0,0,1.00E+06
19,0,0,0,0,0,1.00E+06
20,0,0,0,0,0,1.00E+06
21,0,0,0,0,0,1.00E+06
22,0,0,0,0,0,1.00E+06
23,0,0,0,0,0,1.00E+06